,m,distribution,draw,trueEnt,naive,mean,1smin,1smax,2smin,2smax,samp,N
25904,10.0,9.0,4.0,2.9095962216896774,2.663532754804255,3.1301272276994565,2.845350936622437,3.390805482076982,2.59490661824394,3.8321466613745594,1000.0,11.0
25905,10.0,9.0,5.0,2.9095962216896774,2.481714572986073,2.8692033267274035,2.594906618243939,3.1403611636984845,2.481714572986073,3.47231429591696,1000.0,11.0
25906,10.0,9.0,6.0,2.9095962216896774,2.481714572986073,2.862209507207564,2.594906618243939,3.1403611636984845,2.481714572986073,3.47231429591696,1000.0,11.0
25907,10.0,9.0,7.0,2.9095962216896774,2.5949066182439395,3.032462787973361,2.708098663501806,3.322179345516667,2.457654345123309,3.698698386432693,1000.0,11.0
25908,10.0,9.0,8.0,2.9095962216896774,1.6858157091530304,1.9164429688593203,1.5817023429960613,2.2758361633051267,1.4353713907745334,2.687592982667019,1000.0,11.0
25909,10.0,9.0,9.0,2.9095962216896774,2.413088436425758,2.7932346726259194,2.526280481683625,3.0362477975415163,2.3444622998654427,3.477588976839093,1000.0,11.0
25910,10.0,9.0,0.0,2.9095962216896774,2.459147917027245,2.8098141719026404,2.562907291846956,3.0629072918469564,2.39624062518029,3.367197663047225,1000.0,12.0
25911,10.0,9.0,1.0,2.9095962216896774,2.459147917027245,2.8022502737599546,2.562907291846956,3.0629072918469564,2.39624062518029,3.367197663047225,1000.0,12.0
25912,10.0,9.0,2.0,2.9095962216896774,2.2841591278514217,2.623510866128501,2.3166890883150204,2.954312792848623,2.1091703386755984,3.3607995060634215,1000.0,12.0
25913,10.0,9.0,3.0,2.9095962216896774,1.5849625007211563,1.8556575255535135,1.3892528719214254,2.353235913127292,1.115339832104513,2.7561081511386787,1000.0,12.0
25914,10.0,9.0,4.0,2.9095962216896774,2.355388542207534,2.695439688246329,2.41829583405449,2.9812031259014455,2.251629167387823,3.3263455800744697,1000.0,12.0
25915,10.0,9.0,5.0,2.9095962216896774,2.355388542207534,2.702711796622548,2.4266179565636463,2.9812031259014455,2.251629167387823,3.3263455800744697,1000.0,12.0
25916,10.0,9.0,6.0,2.9095962216896774,2.5220552088742,2.873248915193003,2.6258145836939106,3.0849625007211556,2.5220552088742,3.4301049548941798,1000.0,12.0
25917,10.0,9.0,7.0,2.9095962216896774,2.4508257945180887,2.8572848922515743,2.483355754981688,3.172077630522555,2.21292971349531,3.6941328393967554,1000.0,12.0
25918,10.0,9.0,8.0,2.9095962216896774,2.0849625007211565,2.3411183608557424,2.0441104177484015,2.618826830435048,1.9403510429286905,2.962406251802891,1000.0,12.0
25919,10.0,9.0,9.0,2.9095962216896774,1.8250112108241774,2.0227012840430083,1.794633879440821,2.231726587593865,1.6908745046211102,2.6091703386755993,1000.0,12.0
25920,10.0,9.0,0.0,2.9095962216896774,2.411602217974672,2.7373102839470906,2.4696704873718622,2.9969591775467346,2.3158243335257085,3.2969695259998213,1000.0,13.0
25921,10.0,9.0,1.0,2.9095962216896774,2.7773627950641693,3.173853580131357,2.931208948910323,3.3927474104487847,2.835431064461359,3.673630830018264,1000.0,13.0
25922,10.0,9.0,2.0,2.9095962216896774,2.449311833026446,2.7681173534757395,2.4870214480782202,3.0143101382530926,2.3912435636292564,3.284292830893626,1000.0,13.0
25923,10.0,9.0,3.0,2.9095962216896774,2.449311833026446,2.77508685532292,2.4870214480782202,3.017528905942817,2.3912435636292564,3.3500430595300372,1000.0,13.0
25924,10.0,9.0,4.0,2.9095962216896774,2.469670487371862,2.7862350688348263,2.527738756769052,3.0550274469439245,2.4319608723200883,3.392747410448785,1000.0,13.0
25925,10.0,9.0,5.0,2.9095962216896774,2.2577560641285173,2.50803466924808,2.3158243335257067,2.6892668698544253,2.220046449076743,3.055027446943923,1000.0,13.0
25926,10.0,9.0,6.0,2.9095962216896774,2.6612262562697895,3.055097584358767,2.8150724101159437,3.284292830893626,2.6031579868725996,3.653272175672848,1000.0,13.0
25927,10.0,9.0,7.0,2.9095962216896774,2.3535339485774815,2.665080875639003,2.4116022179746714,2.931208948910323,2.2373974097831013,3.2465832158418517,1000.0,13.0
25928,10.0,9.0,8.0,2.9095962216896774,2.6612262562697895,3.044615992422776,2.8150724101159437,3.284292830893626,2.6031579868725996,3.584303179346713,1000.0,13.0
25929,10.0,9.0,9.0,2.9095962216896774,2.565448371820825,2.9444758047878272,2.6612262562697886,3.2465832158418513,2.469670487371861,3.642371448743902,1000.0,13.0
25930,10.0,9.0,0.0,2.9095962216896774,2.1559681021459074,2.387820274315824,2.1559681021459074,2.5875283864292227,2.040993782543278,2.9331527108056394,1000.0,14.0
25931,10.0,9.0,1.0,2.9095962216896774,2.610577243331642,2.967527306972665,2.7184183150692807,3.2359263506290334,2.5216406363433186,3.610577243331642,1000.0,14.0
25932,10.0,9.0,2.0,2.9095962216896774,2.1820058147602133,2.4126081953231564,2.1820058147602133,2.6105772433316417,2.0930692077718898,2.9324513452371113,1000.0,14.0
25933,10.0,9.0,3.0,2.9095962216896774,2.2170218858797175,2.5185509685177214,2.2170218858797175,2.823466528427793,2.0202442071537554,3.170234597875889,1000.0,14.0
25934,10.0,9.0,4.0,2.9095962216896774,2.753434386188785,3.103427420439899,2.8612754579264235,3.3248629576173565,2.753434386188785,3.585683275789016,1000.0,14.0
25935,10.0,9.0,5.0,2.9095962216896774,2.324862957617356,2.6352019036676984,2.3859167413511666,2.8713975615033007,2.1820058147602133,3.218165630951397,1000.0,14.0
25936,10.0,9.0,6.0,2.9095962216896774,2.4137995646056796,2.7608696465395064,2.4137995646056796,3.0741647430225743,2.182005814760213,3.5359071320733,1000.0,14.0
25937,10.0,9.0,7.0,2.9095962216896774,2.5495234595978316,2.914410518152081,2.631326818721164,3.2287931027640413,2.3995330688756975,3.6064328511785373,1000.0,14.0
25938,10.0,9.0,8.0,2.9095962216896774,2.4137995646056796,2.7071329277006835,2.4748533483394897,2.9064136326228054,2.3248629576173556,3.217021885879717,1000.0,14.0
25939,10.0,9.0,9.0,2.9095962216896774,2.0741647430225747,2.3000220450034856,2.0273774550187467,2.5377522427135073,1.8773870642966126,2.8566374889070905,1000.0,14.0
25940,10.0,9.0,0.0,2.9095962216896774,2.8225797618424915,3.215655689439816,2.9625707931831498,3.4632224601382786,2.772253928364927,3.788594761554029,1000.0,15.0
25941,10.0,9.0,1.0,2.9095962216896774,2.739572261986723,3.0715072100937224,2.8729055953200566,3.2729055953200565,2.739572261986723,3.5163378922802715,1000.0,15.0
25942,10.0,9.0,2.0,2.9095962216896774,2.289246428509158,2.5049614842854075,2.346229959994047,2.6698801581456033,2.289246428509158,2.9055872616982596,1000.0,15.0
25943,10.0,9.0,3.0,2.9095962216896774,2.206238928653389,2.472128835424605,2.206238928653389,2.7245347627078784,1.9965557934716118,3.1257851889520234,1000.0,15.0
25944,10.0,9.0,4.0,2.9095962216896774,2.739572261986723,3.120940969376332,2.8729055953200566,3.40623892865339,2.638920595031594,3.682352891991809,1000.0,15.0
25945,10.0,9.0,5.0,2.9095962216896774,2.5055872616982606,2.771318251838361,2.5709505944546693,2.9449266260837903,2.4879430945989007,3.204935594743132,1000.0,15.0
25946,10.0,9.0,6.0,2.9095962216896774,2.840223928941852,3.230786458164118,2.991201429374545,3.4742089292303144,2.8075422625636475,3.7912014293745457,1000.0,15.0
25947,10.0,9.0,7.0,2.9095962216896774,2.440223928941852,2.7069727848503597,2.4905497624194166,2.9176412261905296,2.374860596185443,3.190965590864521,1000.0,15.0
25948,10.0,9.0,8.0,2.9095962216896774,1.9086126988727126,2.071688639604554,1.8952973028580629,2.2626156364798584,1.8273273022811378,2.544319802425369,1000.0,15.0
25949,10.0,9.0,9.0,2.9095962216896774,2.9232314287976204,3.3681763476271884,3.106890595608518,3.6468816269491766,2.8729055953200557,3.989898095464287,1000.0,15.0
25950,10.0,9.0,0.0,2.9095962216896774,2.1800365325772657,2.443771719085927,2.1800365325772657,2.690336347351049,1.9606755948068324,3.03561277185289,1000.0,16.0
25951,10.0,9.0,1.0,2.9095962216896774,2.311278124459133,2.576731681098221,2.3237613082228674,2.8278195311147836,2.1390976555739165,3.125915486731408,1000.0,16.0
25952,10.0,9.0,2.0,2.9095962216896774,2.5550365325772657,2.8715490032783033,2.626614471810182,3.1328560636920493,2.454434002924965,3.4362781244591334,1000.0,16.0
25953,10.0,9.0,3.0,2.9095962216896774,2.3584585933443494,2.6178068741876137,2.364700185226216,2.8419171866886987,2.2334585933443494,3.220276424501841,1000.0,16.0
25954,10.0,9.0,4.0,2.9095962216896774,2.702819531114783,3.0169602306488397,2.7806390622295662,3.2256025296523005,2.672180468885217,3.5306390622295662,1000.0,16.0
25955,10.0,9.0,5.0,2.9095962216896774,2.4300365325772657,2.6847010306778705,2.454434002924965,2.9072535340397483,2.3459754095806153,3.2106755948068324,1000.0,16.0
25956,10.0,9.0,6.0,2.9095962216896774,2.5,2.8112898678295104,2.5699634674227343,3.0762050593046015,2.3443609377704338,3.350602529652301,1000.0,16.0
25957,10.0,9.0,7.0,2.9095962216896774,2.7806390622295662,3.150157678072434,2.9056390622295662,3.3838568406297678,2.733458593344349,3.6862781244591325,1000.0,16.0
25958,10.0,9.0,8.0,2.9095962216896774,2.4300365325772657,2.6802866402690992,2.4606755948068324,2.893155878465832,2.329434002924965,3.182651781325167,1000.0,16.0
25959,10.0,9.0,9.0,2.9095962216896774,2.524397470347699,2.8329229415709487,2.5715779392329154,3.095975409580615,2.3931558784658318,3.422180468885217,1000.0,16.0
25960,10.0,9.0,0.0,2.9095962216896774,2.4692407821722844,2.7671905666148047,2.498077546623641,3.0369751618430625,2.28422625112954,3.329781398824678,1000.0,17.0
25961,10.0,9.0,1.0,2.9095962216896774,2.536608254391499,2.8172108248562915,2.6039757266107135,3.0745639619048313,2.4130867561497413,3.3337623122911078,1000.0,17.0
25962,10.0,9.0,2.0,2.9095962216896774,2.7274972248524723,3.076540276107749,2.800739136489916,3.338694844003248,2.6328124910620723,3.6770095454451956,1000.0,17.0
25963,10.0,9.0,3.0,2.9095962216896774,2.4477979600193267,2.6833008566211536,2.4766347244706832,2.8764424587136177,2.3819499906802823,3.161074255258902,1000.0,17.0
25964,10.0,9.0,4.0,2.9095962216896774,2.771902372038558,3.1291376408454665,2.883674991443859,3.3986683739240635,2.7216227854342434,3.707204403208565,1000.0,17.0
25965,10.0,9.0,5.0,2.9095962216896774,2.469240782172285,2.708783240428121,2.498077546623642,2.8749229558334473,2.395998870534842,3.1809975745316894,1000.0,17.0
25966,10.0,9.0,6.0,2.9095962216896774,2.469240782172285,2.7045580791739487,2.5195203687765995,2.916866692433274,2.4248356349861986,3.130717987927375,1000.0,17.0
25967,10.0,9.0,7.0,2.9095962216896774,2.0430576940642533,2.2332183550713767,1.9912586045797682,2.472402417761124,1.829206398570152,2.8089135769262463,1000.0,17.0
25968,10.0,9.0,8.0,2.9095962216896774,2.05632607578088,2.2981432067831626,1.9519473986739775,2.6609913872039934,1.7322216637616488,3.090231447713432,1000.0,17.0
25969,10.0,9.0,9.0,2.9095962216896774,2.6756981353679867,2.961679931463337,2.7415461047070306,3.161854753396834,2.6180246064652737,3.476265222099564,1000.0,17.0
25970,10.0,9.0,0.0,2.9095962216896774,2.557727778739319,2.8235498365569343,2.584962500721156,3.044110417748401,2.446616667628208,3.3976953053373053,1000.0,18.0
25971,10.0,9.0,1.0,2.9095962216896774,2.5032583347756456,2.825972127086844,2.5032583347756456,3.1684899153888177,2.295739585136224,3.60183819648772,1000.0,18.0
25972,10.0,9.0,2.0,2.9095962216896774,2.7471671973069336,3.0714402825804332,2.8365916681089787,3.3174262254452893,2.657742726504888,3.5668831696493486,1000.0,18.0
25973,10.0,9.0,3.0,2.9095962216896774,2.7527152789797045,3.063564183729304,2.8218881955261783,3.2944569414526548,2.6416041678685938,3.559900001923083,1000.0,18.0
25974,10.0,9.0,4.0,2.9095962216896774,2.4885548621928453,2.7596285446937823,2.5304930567574826,3.0077203048565346,2.3355055565170972,3.296553351119697,1000.0,18.0
25975,10.0,9.0,5.0,2.9095962216896774,2.94770277922009,3.323156843992507,3.0790654445867722,3.5654480835958537,2.8785298626736155,3.8785298626736155,1000.0,18.0
25976,10.0,9.0,6.0,2.9095962216896774,2.794653473544342,3.116812183987002,2.8840779443463873,3.337677779700861,2.7254805569978684,3.6005555528041517,1000.0,18.0
25977,10.0,9.0,7.0,2.9095962216896774,1.9693894195291561,2.1491097163816564,1.8808545282273061,2.40828578230083,1.7618706698897344,2.7061185822424925,1000.0,18.0
25978,10.0,9.0,8.0,2.9095962216896774,2.169925001442312,2.3953474847919907,2.142690279460475,2.6640279453079283,1.9351715298210532,3.0043444463675275,1000.0,18.0
25979,10.0,9.0,9.0,2.9095962216896774,2.710777084415067,3.0276635069695264,2.779950000961541,3.3193669978808016,2.605214054976727,3.6563076404513932,1000.0,18.0
25980,10.0,9.0,0.0,2.9095962216896774,2.6755957776053108,2.9384072055639967,2.7411280143335492,3.1363793303507568,2.6358648564388125,3.419896274977747,1000.0,19.0
25981,10.0,9.0,1.0,2.9095962216896774,2.820589856666546,3.1260018987050553,2.886122093394785,3.367450884327767,2.7498015425641036,3.636893804262701,1000.0,19.0
25982,10.0,9.0,2.0,2.9095962216896774,2.615319618251276,2.868929874181308,2.64637701118722,3.1019044865584613,2.515312537730743,3.4024047994293403,1000.0,19.0
25983,10.0,9.0,3.0,2.9095962216896774,2.839775539645508,3.1385631277043093,2.924493459352709,3.347748405666731,2.7881729085220277,3.6032617199969073,1000.0,19.0
25984,10.0,9.0,4.0,2.9095962216896774,2.4047933024618025,2.616736072898336,2.412251694571081,2.831102011414954,2.3047862219412694,3.0908037127963492,1000.0,19.0
25985,10.0,9.0,5.0,2.9095962216896774,3.155565013329719,3.5439787577249047,3.314488697995712,3.768801037245679,3.155565013329719,4.02552948769713,1000.0,19.0
